Zeit;Kanal A
(ms);(V)

-4.64565887;1.02731300
-4.64555487;0.98071480
-4.64545087;1.02731300
-4.64534687;1.02731300
-4.64524287;1.02731300
-4.64513887;1.02731300
-4.64503487;1.02731300
-4.64493087;0.98071480
-4.64482687;1.02731300
-4.64472287;1.02731300
-4.64461887;1.02731300
-4.64451487;0.98071480
-4.64441087;1.02731300
-4.64430687;1.02731300
-4.64420287;1.02731300
-4.64409887;1.02731300
-4.64399487;1.02731300
-4.64389087;1.02731300
-4.64378687;1.02731300
-4.64368287;1.02731300
-4.64357887;1.02731300
-4.64347487;1.02731300
-4.64337087;1.02731300
-4.64326687;1.02731300
-4.64316287;1.02731300
-4.64305887;1.02731300
-4.64295487;1.02731300
-4.64285087;1.02731300
-4.64274687;1.02731300
-4.64264287;1.02731300
-4.64253887;1.02731300
-4.64243487;1.02731300
-4.64233087;1.02731300
-4.64222687;1.02731300
-4.64212287;1.02731300
-4.64201887;0.98071480
-4.64191487;1.02731300
-4.64181087;1.02731300
-4.64170687;1.02731300
-4.64160287;1.02731300
-4.64149887;1.02731300
-4.64139487;1.02731300
-4.64129087;1.02731300
-4.64118687;0.98071480
-4.64108287;1.02731300
-4.64097887;1.02731300
-4.64087487;1.02731300
-4.64077087;0.98071480
-4.64066687;1.02731300
-4.64056287;1.02731300
-4.64045887;1.02731300
-4.64035487;1.02731300
-4.64025087;1.02731300
-4.64014687;0.98071480
-4.64004287;1.02731300
-4.63993887;0.98071480
-4.63983487;1.02731300
-4.63973087;0.98071480
-4.63962687;1.02731300
-4.63952287;1.02731300
-4.63941887;1.02731300
-4.63931487;0.98071480
-4.63921087;1.02731300
-4.63910687;1.02731300
-4.63900287;1.02731300
-4.63889887;1.02731300
-4.63879487;1.02731300
-4.63869087;0.98071480
-4.63858687;1.02731300
-4.63848287;0.98071480
-4.63837887;1.02731300
-4.63827487;1.02731300
-4.63817087;1.02731300
-4.63806687;1.02731300
-4.63796287;1.02731300
-4.63785887;1.02731300
-4.63775487;1.02731300
-4.63765087;0.98071480
-4.63754687;1.02731300
-4.63744287;0.98071480
-4.63733887;1.02731300
-4.63723487;0.98071480
-4.63713087;1.07406500
-4.63702687;0.98071480
-4.63692287;1.02731300
-4.63681887;0.98071480
-4.63671487;0.98071480
-4.63661087;0.98071480
-4.63650687;1.02731300
-4.63640287;1.02731300
-4.63629887;1.02731300
-4.63619487;1.02731300
-4.63609087;1.02731300
-4.63598687;1.02731300
-4.63588287;1.02731300
-4.63577887;1.02731300
-4.63567487;1.02731300
-4.63557087;1.02731300
-4.63546687;0.98071480
-4.63536287;1.02731300
-4.63525887;1.02731300
-4.63515487;1.02731300
-4.63505087;1.02731300
-4.63494687;1.02731300
-4.63484287;0.98071480
-4.63473887;1.02731300
-4.63463487;1.02731300
-4.63453087;0.98071480
-4.63442687;1.02731300
-4.63432287;1.02731300
-4.63421887;0.98071480
-4.63411487;1.02731300
-4.63401087;1.02731300
-4.63390687;0.98071480
-4.63380287;1.02731300
-4.63369887;0.98071480
-4.63359487;1.02731300
-4.63349087;1.02731300
-4.63338687;1.02731300
-4.63328287;1.02731300
-4.63317887;0.98071480
-4.63307487;1.02731300
-4.63297087;1.02731300
-4.63286687;0.98071480
-4.63276287;1.02731300
-4.63265887;1.02731300
-4.63255487;1.02731300
-4.63245087;1.02731300
-4.63234687;1.02731300
-4.63224287;1.02731300
-4.63213887;1.02731300
-4.63203487;1.02731300
-4.63193087;1.02731300
-4.63182687;1.02731300
-4.63172287;0.98071480
-4.63161887;0.98071480
-4.63151487;1.02731300
-4.63141087;1.02731300
-4.63130687;1.02731300
-4.63120287;1.02731300
-4.63109887;0.98071480
-4.63099487;1.02731300
-4.63089087;1.02731300
-4.63078687;1.02731300
-4.63068287;1.02731300
-4.63057887;1.02731300
-4.63047487;0.98071480
-4.63037087;1.02731300
-4.63026687;1.02731300
-4.63016287;1.02731300
-4.63005887;0.98071480
-4.62995487;0.98071480
-4.62985087;1.02731300
-4.62974687;1.02731300
-4.62964287;1.02731300
-4.62953887;1.02731300
-4.62943487;0.98071480
-4.62933087;1.02731300
-4.62922687;1.02731300
-4.62912287;1.02731300
-4.62901887;1.02731300
-4.62891487;1.02731300
-4.62881087;1.02731300
-4.62870687;1.02731300
-4.62860287;1.02731300
-4.62849887;1.02731300
-4.62839487;1.02731300
-4.62829087;1.02731300
-4.62818687;1.02731300
-4.62808287;0.98071480
-4.62797887;1.02731300
-4.62787487;1.02731300
-4.62777087;1.02731300
-4.62766687;1.02731300
-4.62756287;1.02731300
-4.62745887;0.98071480
-4.62735487;0.98071480
-4.62725087;1.02731300
-4.62714687;1.02731300
-4.62704287;0.98071480
-4.62693887;1.02731300
-4.62683487;1.02731300
-4.62673087;1.02731300
-4.62662687;1.02731300
-4.62652287;1.02731300
-4.62641887;0.98071480
-4.62631487;1.02731300
-4.62621087;1.02731300
-4.62610687;1.02731300
-4.62600287;0.98071480
-4.62589887;1.02731300
-4.62579487;1.02731300
-4.62569087;1.02731300
-4.62558687;0.98071480
-4.62548287;1.02731300
-4.62537887;1.02731300
-4.62527487;1.02731300
-4.62517087;1.02731300
-4.62506687;1.02731300
-4.62496287;1.02731300
-4.62485887;1.02731300
-4.62475487;1.02731300
-4.62465087;1.02731300
-4.62454687;1.02731300
-4.62444287;1.02731300
-4.62433887;1.02731300
-4.62423487;1.02731300
-4.62413087;1.02731300
-4.62402687;1.02731300
-4.62392287;1.02731300
-4.62381887;1.02731300
-4.62371487;1.02731300
-4.62361087;1.02731300
-4.62350687;1.02731300
-4.62340287;1.02731300
-4.62329887;1.02731300
-4.62319487;1.02731300
-4.62309087;1.02731300
-4.62298687;1.02731300
-4.62288287;1.02731300
-4.62277887;1.02731300
-4.62267487;1.02731300
-4.62257087;1.02731300
-4.62246687;1.02731300
-4.62236287;1.02731300
-4.62225887;1.02731300
-4.62215487;1.02731300
-4.62205087;1.02731300
-4.62194687;1.02731300
-4.62184287;1.02731300
-4.62173887;1.02731300
-4.62163487;0.98071480
-4.62153087;1.02731300
-4.62142687;1.02731300
-4.62132287;1.02731300
-4.62121887;0.98071480
-4.62111487;1.02731300
-4.62101087;1.02731300
-4.62090687;1.02731300
-4.62080287;1.02731300
-4.62069887;0.98071480
-4.62059487;1.02731300
-4.62049087;1.02731300
-4.62038687;1.02731300
-4.62028287;1.02731300
-4.62017887;1.02731300
-4.62007487;1.02731300
-4.61997087;1.02731300
-4.61986687;1.02731300
-4.61976287;0.98071480
-4.61965887;1.02731300
-4.61955487;1.02731300
-4.61945087;1.02731300
-4.61934687;1.02731300
-4.61924287;1.02731300
-4.61913887;1.02731300
-4.61903487;1.02731300
-4.61893087;1.02731300
-4.61882687;1.02731300
-4.61872287;1.02731300
-4.61861887;1.02731300
-4.61851487;1.02731300
-4.61841087;1.02731300
-4.61830687;1.02731300
-4.61820287;1.02731300
-4.61809887;1.02731300
-4.61799487;1.02731300
-4.61789087;1.02731300
-4.61778687;1.02731300
-4.61768287;1.02731300
-4.61757887;1.02731300
-4.61747487;1.02731300
-4.61737087;1.02731300
-4.61726687;1.07406500
-4.61716287;1.02731300
-4.61705887;1.02731300
-4.61695487;1.02731300
-4.61685087;0.98071480
-4.61674687;1.02731300
-4.61664287;1.02731300
-4.61653887;1.02731300
-4.61643487;1.02731300
-4.61633087;1.02731300
-4.61622687;1.02731300
-4.61612287;1.02731300
-4.61601887;0.98071480
-4.61591487;1.02731300
-4.61581087;1.02731300
-4.61570687;1.02731300
-4.61560287;1.02731300
-4.61549887;1.02731300
-4.61539487;0.98071480
-4.61529087;1.02731300
-4.61518687;1.02731300
-4.61508287;0.98071480
-4.61497887;1.02731300
-4.61487487;1.02731300
-4.61477087;0.98071480
-4.61466687;1.02731300
-4.61456287;1.02731300
-4.61445887;1.02731300
-4.61435487;1.02731300
-4.61425087;1.02731300
-4.61414687;1.02731300
-4.61404287;0.98071480
-4.61393887;1.02731300
-4.61383487;1.02731300
-4.61373087;1.02731300
-4.61362687;1.02731300
-4.61352287;1.02731300
-4.61341887;1.02731300
-4.61331487;0.98071480
-4.61321087;1.02731300
-4.61310687;1.02731300
-4.61300287;1.02731300
-4.61289887;0.98071480
-4.61279487;1.02731300
-4.61269087;1.02731300
-4.61258687;1.02731300
-4.61248287;1.02731300
-4.61237887;1.02731300
-4.61227487;1.02731300
-4.61217087;1.02731300
-4.61206687;0.98071480
-4.61196287;1.02731300
-4.61185887;1.02731300
-4.61175487;1.02731300
-4.61165087;1.02731300
-4.61154687;1.02731300
-4.61144287;1.02731300
-4.61133887;1.02731300
-4.61123487;1.02731300
-4.61113087;1.02731300
-4.61102687;1.02731300
-4.61092287;1.02731300
-4.61081887;1.02731300
-4.61071487;1.02731300
-4.61061087;1.02731300
-4.61050687;1.02731300
-4.61040287;1.02731300
-4.61029887;1.02731300
-4.61019487;1.02731300
-4.61009087;1.02731300
-4.60998687;1.02731300
-4.60988287;1.02731300
-4.60977887;0.98071480
-4.60967487;1.02731300
-4.60957087;1.02731300
-4.60946687;1.02731300
-4.60936287;1.02731300
-4.60925887;1.02731300
-4.60915487;1.02731300
-4.60905087;1.02731300
-4.60894687;1.02731300
-4.60884287;1.02731300
-4.60873887;1.02731300
-4.60863487;1.02731300
-4.60853087;1.02731300
-4.60842687;1.02731300
-4.60832287;1.02731300
-4.60821887;1.02731300
-4.60811487;1.02731300
-4.60801087;1.02731300
-4.60790687;1.02731300
-4.60780287;1.02731300
-4.60769887;1.02731300
-4.60759487;1.02731300
-4.60749087;1.02731300
-4.60738687;1.02731300
-4.60728287;1.02731300
-4.60717887;1.02731300
-4.60707487;0.98071480
-4.60697087;1.02731300
-4.60686687;1.02731300
-4.60676287;1.02731300
-4.60665887;1.02731300
-4.60655487;1.02731300
-4.60645087;1.02731300
-4.60634687;1.02731300
-4.60624287;0.98071480
-4.60613887;1.02731300
-4.60603487;0.98071480
-4.60593087;1.02731300
-4.60582687;1.02731300
-4.60572287;1.02731300
-4.60561887;1.02731300
-4.60551487;1.02731300
-4.60541087;0.98071480
-4.60530687;1.02731300
-4.60520287;1.02731300
-4.60509887;1.02731300
-4.60499487;1.02731300
-4.60489087;1.02731300
-4.60478687;1.02731300
-4.60468287;1.02731300
-4.60457887;1.02731300
-4.60447487;1.02731300
-4.60437087;1.02731300
-4.60426687;1.02731300
-4.60416287;1.02731300
-4.60405887;1.02731300
-4.60395487;1.02731300
-4.60385087;1.02731300
-4.60374687;1.02731300
-4.60364287;1.07406500
-4.60353887;1.02731300
-4.60343487;1.02731300
-4.60333087;1.02731300
-4.60322687;1.02731300
-4.60312287;1.02731300
-4.60301887;1.02731300
-4.60291487;1.02731300
-4.60281087;1.02731300
-4.60270687;1.02731300
-4.60260287;1.02731300
-4.60249887;1.02731300
-4.60239487;1.02731300
-4.60229087;1.02731300
-4.60218687;1.02731300
-4.60208287;1.02731300
-4.60197887;1.02731300
-4.60187487;0.98071480
-4.60177087;1.02731300
-4.60166687;1.02731300
-4.60156287;1.02731300
-4.60145887;1.02731300
-4.60135487;1.02731300
-4.60125087;1.02731300
-4.60114687;1.02731300
-4.60104287;1.02731300
-4.60093887;1.02731300
-4.60083487;1.02731300
-4.60073087;1.02731300
-4.60062687;1.02731300
-4.60052287;0.98071480
-4.60041887;1.02731300
-4.60031487;1.02731300
-4.60021087;1.02731300
-4.60010687;1.02731300
-4.60000287;1.02731300
-4.59989887;1.02731300
-4.59979487;1.02731300
-4.59969087;1.02731300
-4.59958687;1.02731300
-4.59948287;1.02731300
-4.59937887;1.02731300
-4.59927487;1.02731300
-4.59917087;1.02731300
-4.59906687;1.02731300
-4.59896287;1.02731300
-4.59885887;1.02731300
-4.59875487;1.02731300
-4.59865087;1.02731300
-4.59854687;1.02731300
-4.59844287;1.02731300
-4.59833887;0.98071480
-4.59823487;1.02731300
-4.59813087;1.02731300
-4.59802687;1.02731300
-4.59792287;1.02731300
-4.59781887;1.02731300
-4.59771487;1.02731300
-4.59761087;1.02731300
-4.59750687;1.02731300
-4.59740287;1.02731300
-4.59729887;1.02731300
-4.59719487;1.02731300
-4.59709087;1.02731300
-4.59698687;1.02731300
-4.59688287;1.02731300
-4.59677887;1.02731300
-4.59667487;1.02731300
-4.59657087;1.02731300
-4.59646687;1.02731300
-4.59636287;1.02731300
-4.59625887;1.02731300
-4.59615487;1.02731300
-4.59605087;1.02731300
-4.59594687;1.07406500
-4.59584287;1.02731300
-4.59573887;1.07406500
-4.59563487;1.02731300
-4.59553087;1.02731300
-4.59542687;1.02731300
-4.59532287;1.02731300
-4.59521887;1.02731300
-4.59511487;1.02731300
-4.59501087;1.02731300
-4.59490687;1.02731300
-4.59480287;1.02731300
-4.59469887;1.02731300
-4.59459487;1.02731300
-4.59449087;1.02731300
-4.59438687;0.98071480
-4.59428287;1.02731300
-4.59417887;1.07406500
-4.59407487;1.02731300
-4.59397087;1.02731300
-4.59386687;1.02731300
-4.59376287;0.98071480
-4.59365887;1.02731300
-4.59355487;0.98071480
-4.59345087;1.02731300
-4.59334687;0.98071480
-4.59324287;1.02731300
